order_id,order_date,product_id,product_category,price,discount_percent,quantity_sold,customer_region,payment_method,rating,review_count,discounted_price,total_revenue
1,2023-10-17,8270,Electronics,706.99,0,5,Europe,Wallet,2.4,1072,706.99,3534.95
2,2022-04-25,1860,Electronics,584.05,10,3,Europe,Debit Card,3.6,391,525.64,1576.94
3,2022-01-26,6390,Books,567.94,15,6,Middle East,Wallet,3.7,300,482.75,2896.49
4,2022-10-09,6191,Home & Garden,255.28,15,9,Europe,Credit Card,4.7,747,216.99,1952.89
5,2022-09-08,6734,Sports,242.56,20,2,Middle East,Debit Card,2.5,328,194.05,388.1
6,2022-08-17,7265,Sports,989.84,0,5,Middle East,Cash,5.0,1068,989.84,4949.2
7,2022-05-23,1466,Books,632.49,25,1,Asia,Credit Card,1.7,446,474.37,474.37
8,2022-04-15,5426,Sports,821.26,30,3,Middle East,PayPal,3.9,886,574.88,1724.65
9,2023-11-24,6578,Beauty,384.73,20,2,North America,Cash,2.7,785,307.78,615.57
10,2023-07-13,9322,Beauty,845.24,15,7,Asia,Debit Card,1.3,645,718.45,5029.18
11,2022-03-31,2685,Home & Garden,725.16,15,7,Europe,Credit Card,3.6,474,616.39,4314.7
12,2023-08-28,1769,Books,356.62,25,5,Middle East,Debit Card,2.1,238,267.47,1337.33
13,2023-03-09,7949,Fashion,720.52,20,9,North America,UPI,3.8,278,576.42,5187.74
14,2022-02-02,3433,Home & Garden,926.37,10,4,North America,PayPal,1.4,453,833.73,3334.93
15,2022-01-31,6311,Electronics,221.59,20,7,Asia,Credit Card,3.1,1863,177.27,1240.9
16,2022-04-06,6051,Fashion,552.16,5,7,Asia,Debit Card,2.7,642,524.55,3671.86
17,2022-08-12,7420,Electronics,966.98,20,8,Europe,Wallet,3.4,685,773.58,6188.67
18,2022-08-27,2184,Home & Garden,823.18,15,5,North America,Debit Card,1.4,1662,699.7,3498.52
19,2023-06-02,5555,Sports,624.09,15,6,Middle East,UPI,3.5,971,530.48,3182.86
20,2023-09-09,4385,Sports,79.07,30,2,Middle East,Credit Card,1.5,1534,55.35,110.7
21,2022-01-28,7396,Beauty,412.26,30,2,Europe,Cash,3.2,532,288.58,577.16
22,2023-07-29,9666,Fashion,654.26,15,6,Europe,PayPal,1.0,1425,556.12,3336.73
23,2022-07-23,3558,Books,415.57,5,5,Europe,Cash,2.4,772,394.79,1973.96
24,2023-10-28,8849,Electronics,997.11,0,3,Asia,Wallet,3.4,504,997.11,2991.33
25,2023-12-20,3047,Sports,755.86,10,2,Middle East,Debit Card,1.8,1590,680.27,1360.55
26,2023-07-13,3747,Home & Garden,195.21,20,8,Asia,Credit Card,1.8,741,156.17,1249.34
27,2023-03-06,1189,Electronics,495.48,10,2,Europe,Credit Card,2.2,1723,445.93,891.86
28,2022-08-14,3734,Books,390.13,5,4,Europe,Cash,1.0,1143,370.62,1482.49
29,2023-04-05,4005,Electronics,597.9,20,2,North America,Cash,2.2,1859,478.32,956.64
30,2023-08-27,5658,Beauty,452.1,0,4,North America,Wallet,2.1,339,452.1,1808.4
31,2022-10-12,2899,Books,245.52,25,5,Middle East,Debit Card,2.9,1012,184.14,920.7
32,2022-01-07,8734,Books,727.13,15,9,Middle East,UPI,3.2,1266,618.06,5562.54
33,2022-06-13,2267,Electronics,115.59,15,9,North America,Wallet,1.9,1247,98.25,884.26
34,2023-12-16,2528,Electronics,536.81,25,2,North America,UPI,3.0,1692,402.61,805.21
35,2023-03-09,4556,Sports,317.06,5,9,Asia,UPI,2.6,1027,301.21,2710.86
36,2022-12-15,4890,Electronics,966.87,30,6,Europe,Wallet,1.2,702,676.81,4060.85
37,2022-10-12,9838,Books,310.53,30,5,North America,Debit Card,2.2,465,217.37,1086.86
38,2022-06-09,6393,Home & Garden,347.53,20,2,Europe,Wallet,3.9,251,278.02,556.05
39,2022-08-09,9792,Electronics,710.02,30,5,Europe,Debit Card,4.4,430,497.01,2485.07
40,2022-12-11,9433,Home & Garden,137.19,5,5,Asia,PayPal,4.7,1208,130.33,651.65
41,2022-04-15,8513,Home & Garden,331.38,15,1,Asia,Debit Card,1.8,1944,281.67,281.67
42,2022-04-05,3612,Sports,698.96,0,9,Middle East,UPI,2.3,1030,698.96,6290.64
43,2023-01-25,8041,Fashion,40.45,30,6,Middle East,Cash,4.7,890,28.32,169.89
44,2022-04-10,7235,Home & Garden,317.89,20,9,Middle East,UPI,2.7,1381,254.31,2288.81
45,2023-01-03,6486,Beauty,18.17,10,4,Middle East,UPI,1.6,1615,16.35,65.41
46,2022-12-19,8099,Home & Garden,158.73,0,7,Europe,Wallet,3.3,436,158.73,1111.11
47,2023-09-11,1775,Books,608.16,0,7,Asia,Wallet,2.4,1841,608.16,4257.12
48,2022-09-28,9226,Sports,462.15,5,6,North America,Wallet,4.8,1774,439.04,2634.25
49,2022-02-14,4152,Beauty,164.47,5,1,Middle East,Credit Card,1.2,1342,156.25,156.25
50,2023-04-16,2585,Electronics,87.25,10,9,Asia,Wallet,1.0,1133,78.53,706.72
51,2023-07-04,4943,Home & Garden,65.76,20,4,Asia,Credit Card,4.1,720,52.61,210.43
52,2022-05-08,8555,Electronics,94.5,15,1,Middle East,Credit Card,4.6,287,80.32,80.32
53,2023-01-23,4073,Fashion,105.12,15,6,Asia,Wallet,1.1,519,89.35,536.11
54,2022-03-22,2021,Electronics,95.45,30,5,North America,Credit Card,1.2,285,66.82,334.08
55,2023-07-20,4843,Beauty,64.53,5,7,Asia,Wallet,4.4,1039,61.3,429.12
56,2022-10-28,8989,Sports,700.06,15,2,Europe,UPI,4.6,449,595.05,1190.1
57,2023-10-06,7873,Fashion,941.85,30,6,Asia,Debit Card,3.3,1581,659.3,3955.77
58,2023-09-26,6675,Beauty,857.42,30,4,Europe,Cash,2.2,915,600.19,2400.78
59,2023-01-06,1161,Sports,273.2,0,1,North America,UPI,1.7,1507,273.2,273.2
60,2023-08-15,5297,Beauty,212.24,30,5,Middle East,PayPal,1.7,1608,148.57,742.84
61,2022-07-16,1995,Electronics,57.43,0,2,Middle East,UPI,1.0,339,57.43,114.86
62,2023-12-23,8629,Beauty,164.47,20,6,Europe,Credit Card,3.5,258,131.58,789.46
63,2022-03-13,2016,Fashion,572.09,30,7,North America,Debit Card,3.4,1320,400.46,2803.24
64,2022-02-16,8869,Beauty,998.14,20,6,North America,Debit Card,2.9,1272,798.51,4791.07
65,2023-11-09,7439,Books,860.44,30,6,North America,PayPal,2.5,1249,602.31,3613.85
66,2022-08-22,8892,Electronics,519.77,30,3,Middle East,Cash,4.1,1844,363.84,1091.52
67,2022-10-24,7863,Beauty,429.22,0,2,North America,Debit Card,1.6,1186,429.22,858.44
68,2022-03-23,8916,Sports,156.35,20,5,Middle East,Wallet,3.9,161,125.08,625.4
69,2022-08-27,9529,Electronics,424.41,15,3,Asia,Credit Card,3.9,1055,360.75,1082.25
70,2022-04-14,1878,Home & Garden,598.91,30,4,Asia,Debit Card,4.4,654,419.24,1676.95
71,2023-01-25,5887,Sports,599.52,10,9,Middle East,Wallet,4.8,140,539.57,4856.11
72,2022-10-12,5859,Fashion,561.97,0,5,Asia,Credit Card,4.8,1577,561.97,2809.85
73,2023-04-10,7331,Home & Garden,825.78,5,4,North America,Credit Card,2.7,1976,784.49,3137.96
74,2023-10-13,9571,Home & Garden,514.98,25,8,North America,Credit Card,4.2,1238,386.24,3089.88
75,2023-01-09,9684,Home & Garden,478.12,20,8,Middle East,Credit Card,2.2,1429,382.5,3059.97
76,2022-06-16,8208,Books,312.72,0,6,North America,Credit Card,4.4,404,312.72,1876.32
77,2023-01-15,6276,Beauty,188.44,10,1,Middle East,Credit Card,2.4,1448,169.6,169.6
78,2022-12-30,3062,Electronics,11.39,5,8,Europe,Credit Card,2.2,1841,10.82,86.56
79,2022-08-03,1064,Beauty,328.88,30,2,Asia,Credit Card,1.7,445,230.22,460.43
80,2023-11-18,9006,Beauty,636.75,25,7,North America,Cash,1.0,318,477.56,3342.94
81,2022-10-01,3568,Electronics,563.31,30,8,North America,Credit Card,1.3,1924,394.32,3154.54
82,2023-12-20,6463,Home & Garden,535.21,30,8,Middle East,Wallet,3.0,219,374.65,2997.18
83,2023-12-01,3027,Home & Garden,774.65,25,4,Asia,PayPal,1.0,1690,580.99,2323.95
84,2023-10-26,3695,Books,240.52,30,8,Asia,Credit Card,4.4,1859,168.36,1346.91
85,2022-03-15,6258,Books,681.75,15,5,Asia,UPI,3.5,915,579.49,2897.44
86,2023-09-16,6618,Fashion,611.09,15,6,Europe,Wallet,1.6,1910,519.43,3116.56
87,2023-10-13,7736,Electronics,345.6,25,8,Middle East,Debit Card,3.3,1398,259.2,2073.6
88,2022-06-25,1391,Electronics,226.36,25,8,Asia,Debit Card,2.5,1700,169.77,1358.16
89,2023-07-01,6892,Sports,567.06,15,5,Middle East,Wallet,3.1,1603,482.0,2410.0
90,2022-09-08,4561,Sports,945.7,15,9,Europe,Wallet,2.2,1536,803.84,7234.6
